iter	RMSE
230	1.101946723
231	1.100203944
232	1.098011626
233	1.095648473
234	1.093830006
235	1.092145564
236	1.09079863
237	1.089106258
238	1.088385646
239	1.086925726
240	1.085345014
241	1.083727676
242	1.08152918
243	1.080088475
244	1.079170504
245	1.077808105
246	1.076190301
247	1.074976373
248	1.073883959
249	1.073082599
250	1.071566953
251	1.07041715
252	1.068261024
253	1.067028683
254	1.065775099
255	1.063956485
256	1.063345531
257	1.061577169
258	1.060272757
259	1.058559168
260	1.05736947
261	1.056449576
262	1.055025393
263	1.053896965
264	1.052466479
265	1.051065365
266	1.050514856
267	1.049893856
268	1.048693383
269	1.04763339
270	1.047059273
271	1.046080051
272	1.045552466
273	1.044215218
274	1.042955347
275	1.04136745
276	1.039599944
277	1.039125601
278	1.038100343
279	1.036779541
280	1.035063633
281	1.033328795
282	1.032731255
283	1.031155503
284	1.03028336
285	1.029694429
286	1.029138215
287	1.028357045
288	1.027459799
289	1.026569964
290	1.025714693
291	1.024749692
292	1.023330869
293	1.02178625
294	1.021248031
295	1.020317987
296	1.019387527
297	1.01811572
298	1.016631072
299	1.015878437
300	1.014484928
301	1.013511595
302	1.013108279
303	1.012726034
304	1.011603287
305	1.010491756
306	1.009568438
307	1.009224943
308	1.008168179
309	1.007323129
310	1.006155359
311	1.00526816
312	1.003906993
313	1.002567186
314	1.001800177
315	1.000051035
316	0.9990079573
317	0.9986467966
318	0.997910219
319	0.996451155
320	0.9956808458
321	0.9944798364
322	0.9935448303
323	0.9928362837
324	0.9919080543
325	0.9912419278
326	0.9907463702
327	0.9899429003
328	0.9884387918
329	0.9880341652
330	0.9865426222
331	0.985418182
332	0.9838793929
333	0.9827610267
334	0.9821705973
335	0.9815311097
336	0.980489055
337	0.979085206
338	0.9782048759
339	0.9772817001
340	0.9767630609
341	0.9763224556
342	0.9751136037
343	0.9739294992
344	0.9733654327
345	0.9722356769
346	0.9715709121
347	0.970649784
348	0.9701296584
349	0.9692171369
350	0.9684926256
351	0.967622498
352	0.966242893
353	0.9654888063
354	0.9647366345
355	0.9635379023
356	0.963316887
357	0.962580755
358	0.9618946127
359	0.9613220833
360	0.960630743
361	0.9599968864
362	0.9594748011
363	0.958746575
364	0.9582405089
365	0.9571481224
366	0.9566698208
367	0.9550270543
368	0.9539572151
369	0.9532399572
370	0.9519875664
371	0.9513026157
372	0.9508759938
373	0.9505534411
374	0.9497166693
375	0.9491887365
376	0.9484001261
377	0.9476976729
378	0.9464902443
379	0.9459168911
380	0.9448645767
381	0.9441427533
382	0.9434183965
383	0.9429678935
384	0.9422550107
385	0.9414044528
386	0.9406678087
387	0.9400508029
388	0.9395915699
389	0.9384798174
390	0.9372504085
391	0.9364983082
392	0.9362082514
393	0.9349612908
394	0.933969566
395	0.9334677838
396	0.9329110055
397	0.9322787735
398	0.9315048396
399	0.930776073
400	0.9301377655
401	0.929520327
402	0.9281269073
403	0.9274346906
404	0.9268669083
405	0.9263304113
406	0.9260538705
407	0.9256054684
408	0.9251912284
409	0.9244694537
410	0.9239106527
411	0.9232704123
412	0.9228417362
413	0.921989188
414	0.9212077869
415	0.9204855308
416	0.9196878596
417	0.9188730779
418	0.9182350285
419	0.9173742912
420	0.9167555592
421	0.9162633148
422	0.9154245097
423	0.9144314904
424	0.9137814136
425	0.9136304219
426	0.9130575175
427	0.9125258508
428	0.9115889212
429	0.9115078536
430	0.9109048094
431	0.9099789776
432	0.9092122268
433	0.908564893
434	0.9081830258
435	0.9080767026
436	0.907368092
437	0.90711867
438	0.9063192733
439	0.9056931071
440	0.9047454064
441	0.9047309355
442	0.9042363635
443	0.9035296099
444	0.9033513172
445	0.9028582576
446	0.9028441565
447	0.9020522871
448	0.9014100596
449	0.9007800054
450	0.9000070718
451	0.8997309196
452	0.8991661031
453	0.898981395
454	0.8981098081
455	0.8970976454
456	0.8963076629
457	0.8955656542
458	0.895116089
459	0.8941353074
460	0.8936892544
461	0.8930306405
462	0.8922707733
463	0.8910746226
464	0.8904347674
465	0.88971317
466	0.8893891308
467	0.8886527352
468	0.887992341
469	0.8875622745
470	0.8870950737
471	0.8865916847
472	0.8865802255
473	0.8858539817
474	0.8854502973
475	0.8848024131
476	0.884398525
477	0.8843863799
478	0.8837670812
479	0.8830266001
480	0.8829021836
481	0.8820404746
482	0.881468549
483	0.8808343796
484	0.8799367005
485	0.8794233525
486	0.8791391805
487	0.8787374853
488	0.877719038
489	0.8769850333
490	0.8765236261
491	0.8757307761
492	0.875043743
493	0.8747208322
494	0.8742317875
495	0.873593136
496	0.8735489524
497	0.8728070315
498	0.8722256249
499	0.8716621521
500	0.8712726667
501	0.8705649643
502	0.870159899
503	0.8696784516
504	0.8691027093
505	0.8687157972
506	0.8682852002
507	0.8674384078
508	0.8665354882
509	0.8665053605
510	0.8664497689
511	0.8655125963
512	0.8654488395
513	0.8644366226
514	0.8638149549
515	0.8637919466
516	0.8637812068
517	0.8635627981
518	0.8634333823
519	0.8627037166
520	0.862182281
521	0.8614420737
522	0.8608908274
523	0.8593524453
524	0.8588280422
525	0.8584470529
526	0.8578935161
527	0.8574380296
528	0.8567215564
529	0.8563594502
530	0.8558509026
531	0.8547382842
532	0.8543929533
533	0.8543838341
534	0.8538234101
535	0.8531412772
536	0.8525260275
537	0.8517613409
538	0.8513781177
539	0.8509449245
540	0.850464788
541	0.8500177688
542	0.8494650897
543	0.8487742826
544	0.8480735106
545	0.8478546776
546	0.8475603398
547	0.8472372586
548	0.8469287646
549	0.8461398718
550	0.8457105604
551	0.8454005104
552	0.8451676619
553	0.8448823374
554	0.8441645742
555	0.8438588633
556	0.8437090742
557	0.8432302025
558	0.8422235402
559	0.8419650745
560	0.8414391223
561	0.8404521672
562	0.8404441529
563	0.8399365757
564	0.8392182342
565	0.8380566856
566	0.8373718765
567	0.8369326892
568	0.8363811389
569	0.8358807342
570	0.834939995
571	0.8344159027
572	0.8337084764
573	0.8333676598
574	0.8326631808
575	0.8326545377
576	0.8320624877
577	0.8316828026
578	0.8312552027
579	0.8307848919
580	0.8306022345
581	0.8297541735
582	0.8297453546
583	0.8297378603
584	0.8292430217
585	0.8287173232
586	0.8280080185
587	0.82682609
588	0.8262738621
589	0.8256688101
590	0.8252513551
591	0.8247501146
592	0.8247418517
593	0.8247349486
594	0.8240606715
595	0.8235857929
596	0.823120401
597	0.8226414756
598	0.8226336275
599	0.8226269658
600	0.8220703155
601	0.8214401229
602	0.821060008
603	0.8205525138
604	0.8205431149
605	0.8199001375
606	0.8191637977
607	0.8191560225
608	0.8191469666
609	0.8187148369
610	0.8184170564
611	0.8180798634
612	0.8173759472
613	0.8166976152
614	0.8160864799
615	0.8160793989
616	0.8156175045
617	0.8156105639
618	0.8153907352
619	0.8149142869
620	0.8144113037
621	0.8138138474
622	0.8138078231
623	0.8133513498
624	0.8128849868
625	0.8128733874
626	0.8126520236
627	0.8119215265
628	0.8114144468
629	0.8107393703
630	0.8103801701
631	0.8098623551
632	0.8093781345
633	0.8093667102
634	0.8090234762
635	0.8086681414
636	0.8079385824
637	0.8074799905
638	0.8066731329
639	0.8062904928
640	0.8062775438
641	0.8059341905
642	0.8056635069
643	0.804724322
644	0.8040594732
645	0.8035523567
646	0.8028919346
647	0.8028842796
648	0.8028716615
649	0.802785946
650	0.802364316
651	0.8017292079
652	0.8017237272
653	0.8008993469
654	0.8008937132
655	0.800387628
656	0.8003815113
657	0.8003333541
658	0.7999922851
659	0.7993772807
660	0.799372044
661	0.7987873541
662	0.7983168526
663	0.7976497601
664	0.7972745846
665	0.7967731704
666	0.7961950143
667	0.7957386073
668	0.7952955985
669	0.7952900984
670	0.7952847718
671	0.7947559288
672	0.794750958
673	0.7944714332
674	0.7941514985
675	0.7935474752
676	0.7932385223
677	0.7928733323
678	0.7925804273
679	0.7920666256
680	0.7917174315
681	0.7910517612
682	0.7906806729
683	0.7902972253
684	0.7896182858
685	0.7891910371
686	0.7886495517
687	0.7881758661
688	0.7876582156
689	0.7873907812
690	0.787150881
691	0.7864942356
692	0.7862252449
693	0.7858460078
694	0.7848430672
695	0.784328303
696	0.7838244644
697	0.7834146418
698	0.7830705763
699	0.7827207217
700	0.7822125683
701	0.781673046
702	0.7811245662
703	0.780802779
704	0.7802195804
705	0.779856943
706	0.7793283748
707	0.7789838261
708	0.7786565464
709	0.7778347532
710	0.7775819266
711	0.7771907368
712	0.7766811811
713	0.7766756126
714	0.7761982308
715	0.7757371727
716	0.7752622245
717	0.7745362593
718	0.7741325664
719	0.7734516632
720	0.7728743723
721	0.772868901
722	0.7721081148
723	0.7718525692
724	0.771435219
725	0.7708152179
726	0.7702946443
727	0.7698901622
728	0.7695171468
729	0.7689876936
730	0.7682340228
731	0.7679180032
732	0.7673632349
733	0.7668495953
734	0.7664837987
735	0.7660430014
736	0.7657587802
737	0.7654556528
738	0.7651513637
739	0.7651466456
740	0.7646037657
741	0.7645885062
742	0.7642147092
743	0.7642100714
744	0.7636519847
745	0.7632509241
746	0.7631948706
747	0.7630608127
748	0.7630364607
749	0.7624805251
750	0.7620041775
751	0.7620001166
752	0.7617325191
753	0.7613170095
754	0.7609656449
755	0.7604576951
756	0.7600043357
757	0.759760752
758	0.7595096955
759	0.7594725622
760	0.759416452
761	0.7587637941
762	0.7582019603
763	0.7577927063
764	0.7570703496
765	0.7567648359
766	0.7564691738
767	0.7562531349
768	0.7558926125
769	0.7556023227
770	0.7555978695
771	0.7550680748
772	0.7544029573
773	0.7540382679
774	0.7538066961
775	0.7534196374
776	0.7529253097
777	0.7525223632
778	0.7521906742
779	0.7521861554
780	0.7519372936
781	0.7516230165
782	0.7512350207
783	0.7508785633
784	0.7505883066
785	0.7502438165
786	0.7499325134
787	0.7494692234
788	0.7492846635
789	0.7486899254
790	0.7483330441
791	0.7478367703
792	0.7476095809
793	0.747317647
794	0.746978345
795	0.7466544285
796	0.7466492669
797	0.7466166729
798	0.7461910648
799	0.7459335258
800	0.7456580567
801	0.7456540803
802	0.745428504
803	0.7454241437
804	0.7450471757
805	0.7447347968
806	0.7442730349
807	0.7440162995
808	0.7440126722
809	0.7435925645
810	0.7433970769
811	0.7433931033
812	0.7429225197
813	0.7424939768
814	0.7421321134
815	0.7413032195
816	0.7409356876
817	0.7402987465
818	0.7400331037
819	0.7397722445
820	0.7394301155
821	0.739193448
822	0.7387385335
823	0.7381150833
824	0.7378350501
825	0.7374053845
826	0.7369034676
827	0.7366527292
828	0.7362696185
829	0.7358393793
830	0.7358350189
831	0.7355565992
832	0.7351917907
833	0.7347094393
834	0.7343443885
835	0.7341385656
836	0.7337861073
837	0.7334452726
838	0.7330656512
839	0.7330478728
840	0.7327132471
841	0.7325091102
842	0.7318656378
843	0.7317009397
844	0.7313244433
845	0.7307137689
846	0.7304737459
847	0.7303875136
848	0.7298886108
849	0.7295422068
850	0.7291924235
851	0.7287742448
852	0.7285584782
853	0.7281007218
854	0.7280963592
855	0.7274241703
856	0.7271455601
857	0.7268030517
858	0.7266010255
859	0.7260947618
860	0.7256178847
861	0.7253973982
862	0.725393505
863	0.7251623063
864	0.7248894242
865	0.7245820743
866	0.7243379524
867	0.7240583085
868	0.7239671698
869	0.7236989157
870	0.7232174668
871	0.7225735266
872	0.7225698788
873	0.7220685396
874	0.7220654687
875	0.7216693471
876	0.7212322606
877	0.7209592187
878	0.7204424016
879	0.7200300402
880	0.7197327723
881	0.7194264305
882	0.7190381887
883	0.7185837273
884	0.7180740489
885	0.7176791659
886	0.7170832216
887	0.7167712665
888	0.7163722505
889	0.716370474
890	0.7161022281
891	0.7157783768
892	0.7154846215
893	0.7151271867
894	0.714773226
895	0.7147695899
896	0.7142857866
897	0.7139222765
898	0.7135675369
899	0.7132246029
900	0.7124860055
901	0.7118838077
902	0.7114563645
903	0.7110128667
904	0.7105767713
905	0.7102503815
906	0.7098330412
907	0.7096291615
908	0.7092037124
909	0.7084447569
910	0.7082154986
911	0.7077727184
912	0.7074882672
913	0.7072645803
914	0.7069421501
915	0.7064013501
916	0.70617511
917	0.7058083873
918	0.7054842531
919	0.7049197733
920	0.7045482834
921	0.7045448086
922	0.7040441392
923	0.7036695966
924	0.7033478063
925	0.7031560711
926	0.7029001746
927	0.7025792912
928	0.7021386543
929	0.7018211709
930	0.7013812188
931	0.7013779185
932	0.7010005279
933	0.7007218598
934	0.7005194187
935	0.7001469423
936	0.6999015537
937	0.6996996047
938	0.6993595774
939	0.6987675907
940	0.6983923625
941	0.6981251206
942	0.6979359804
943	0.697639743
944	0.6974783753
945	0.6973153674
946	0.6967240673
947	0.6962584999
948	0.6957151075
949	0.695534673
950	0.6951873059
951	0.6946095935
952	0.6943994646
953	0.6943894766
954	0.6943688018
955	0.6939450339
956	0.6936306003
957	0.6930120813
958	0.692991558
959	0.6929843964
960	0.6926994323
961	0.6922654427
962	0.6917547801
963	0.6915241388
964	0.69151511
965	0.6914383031
966	0.6912036094
967	0.6908201131
968	0.690251328
969	0.6899912136
970	0.6897974139
971	0.6893929683
972	0.6890068639
973	0.6889889682
974	0.6886213751
975	0.6883323621
976	0.6880359299
977	0.6878302792
978	0.6875545816
979	0.6873020954
980	0.6870527349
981	0.6870469261
982	0.6868053439
983	0.6864601511
984	0.6864582202
985	0.686446911
986	0.6861589862
987	0.6860088456
988	0.6856051526
989	0.6853070303
990	0.6851716747
991	0.6847393204
992	0.6844428306
993	0.683959242
994	0.683763523
995	0.6833946898
996	0.6831236688
997	0.6831204811
998	0.6829384927
999	0.6829287745
