iter	Passed	Remaining
289	2897	7094
290	2908	7087
291	2918	7076
292	2927	7064
293	2937	7054
294	2947	7043
295	2957	7033
296	2966	7022
297	2975	7009
298	2984	6997
299	2992	6983
300	3000	6968
301	3007	6951
302	3014	6934
303	3022	6919
304	3033	6911
305	3043	6903
306	3053	6893
307	3063	6882
308	3072	6870
309	3081	6858
310	3091	6849
311	3101	6840
312	3118	6844
313	3153	6889
314	3162	6877
315	3171	6865
316	3179	6850
317	3188	6838
318	3196	6823
319	3223	6849
320	3231	6834
321	3242	6826
322	3253	6818
323	3262	6807
324	3273	6797
325	3281	6784
326	3289	6769
327	3298	6758
328	3307	6745
329	3316	6733
330	3323	6718
331	3331	6703
332	3348	6708
333	3355	6691
334	3363	6676
335	3370	6660
336	3378	6645
337	3386	6631
338	3394	6618
339	3401	6602
340	3407	6585
341	3415	6571
342	3422	6555
343	3429	6540
344	3435	6522
345	3442	6506
346	3448	6489
347	3455	6473
348	3462	6459
349	3469	6442
350	3475	6426
351	3481	6409
352	3487	6392
353	3493	6375
354	3500	6359
355	3506	6343
356	3516	6333
357	3524	6320
358	3533	6308
359	3541	6296
360	3558	6299
361	3579	6308
362	3613	6340
363	3626	6336
364	3637	6328
365	3647	6318
366	3655	6304
367	3664	6292
368	3673	6281
369	3680	6267
370	3692	6259
371	3700	6247
372	3715	6245
373	3758	6290
374	3777	6296
375	3786	6284
376	3794	6269
377	3819	6285
378	3829	6274
379	3838	6263
380	3848	6252
381	3863	6250
382	3872	6238
383	3881	6226
384	3890	6214
385	3898	6201
386	3906	6188
387	3916	6178
388	3926	6167
389	3934	6154
390	3942	6139
391	3949	6126
392	3956	6111
393	3963	6096
394	3970	6081
395	3978	6068
396	3986	6055
397	3994	6041
398	4002	6028
399	4009	6014
400	4018	6003
401	4026	5990
402	4034	5977
403	4043	5964
404	4050	5950
405	4057	5936
406	4065	5924
407	4074	5912
408	4081	5897
409	4087	5882
410	4094	5867
411	4101	5853
412	4107	5838
413	4113	5823
414	4120	5807
415	4127	5793
416	4133	5778
417	4142	5767
418	4149	5754
419	4156	5739
420	4162	5725
421	4169	5710
422	4176	5696
423	4182	5681
424	4188	5666
425	4194	5652
426	4208	5647
427	4217	5636
428	4228	5628
429	4237	5617
430	4245	5604
431	4254	5593
432	4262	5581
433	4271	5570
434	4280	5559
435	4288	5547
436	4295	5533
437	4301	5519
438	4307	5504
439	4314	5491
440	4331	5491
441	4341	5481
442	4353	5473
443	4365	5467
444	4378	5461
445	4392	5456
446	4402	5446
447	4412	5436
448	4421	5425
449	4429	5414
450	4441	5406
451	4451	5396
452	4459	5385
453	4467	5373
454	4475	5361
455	4483	5348
456	4492	5337
457	4500	5326
458	4508	5313
459	4516	5302
460	4524	5289
461	4533	5279
462	4542	5268
463	4549	5255
464	4557	5243
465	4563	5229
466	4570	5216
467	4576	5202
468	4582	5188
469	4588	5174
470	4614	5182
471	4625	5173
472	4634	5163
473	4645	5154
474	4656	5147
475	4673	5144
476	4684	5135
477	4694	5126
478	4705	5117
479	4714	5107
480	4741	5115
481	4753	5108
482	4764	5100
483	4775	5091
484	4785	5081
485	4797	5073
486	4811	5068
487	4823	5061
488	4835	5052
489	4843	5041
490	4851	5029
491	4861	5019
492	4870	5008
493	4879	4997
494	4887	4985
495	4895	4974
496	4902	4962
497	4910	4949
498	4918	4938
499	4927	4927
500	4935	4915
501	4943	4904
502	4951	4892
503	4959	4880
504	4968	4869
505	4975	4857
506	4987	4849
507	4997	4840
508	5007	4830
509	5016	4819
510	5024	4808
511	5033	4797
512	5043	4787
513	5052	4777
514	5061	4766
515	5069	4755
516	5076	4742
517	5098	4743
518	5107	4734
519	5117	4723
520	5125	4712
521	5136	4703
522	5148	4695
523	5171	4697
524	5182	4688
525	5191	4677
526	5216	4681
527	5226	4672
528	5236	4662
529	5245	4651
530	5254	4640
531	5279	4643
532	5291	4636
533	5302	4627
534	5314	4619
535	5324	4608
536	5333	4598
537	5341	4587
538	5348	4574
539	5355	4561
540	5363	4550
541	5372	4539
542	5379	4527
543	5386	4515
544	5394	4503
545	5401	4491
546	5410	4480
547	5417	4468
548	5426	4457
549	5434	4446
550	5443	4435
551	5451	4424
552	5458	4412
553	5466	4400
554	5474	4389
555	5481	4376
556	5488	4364
557	5495	4352
558	5502	4341
559	5509	4328
560	5516	4317
561	5524	4305
562	5530	4292
563	5537	4280
564	5545	4269
565	5553	4258
566	5560	4246
567	5567	4234
568	5575	4222
569	5627	4245
570	5671	4260
571	5677	4248
572	5689	4239
573	5697	4228
574	5704	4216
575	5711	4204
576	5717	4191
577	5728	4182
578	5737	4172
579	5754	4167
580	5767	4159
581	5778	4150
582	5790	4142
583	5853	4169
584	5872	4165
585	5895	4164
586	5911	4159
587	5923	4150
588	5937	4143
589	5946	4132
590	5955	4121
591	5963	4109
592	5971	4098
593	5976	4085
594	5985	4073
595	5993	4062
596	6001	4051
597	6011	4041
598	6020	4030
599	6026	4017
600	6034	4006
601	6041	3994
602	6048	3982
603	6055	3970
604	6062	3958
605	6069	3946
606	6077	3934
607	6084	3922
608	6103	3918
609	6110	3906
610	6118	3895
611	6125	3883
612	6132	3871
613	6139	3859
614	6150	3850
615	6157	3838
616	6167	3828
617	6174	3816
618	6182	3805
619	6207	3804
620	6218	3794
621	6229	3785
622	6236	3773
623	6245	3763
624	6255	3753
625	6266	3743
626	6275	3733
627	6296	3729
628	6305	3718
629	6314	3708
630	6322	3697
631	6329	3685
632	6336	3673
633	6343	3661
634	6350	3650
635	6361	3640
636	6367	3628
637	6375	3617
638	6392	3611
639	6405	3603
640	6416	3593
641	6426	3583
642	6436	3573
643	6446	3563
644	6455	3553
645	6464	3542
646	6474	3532
647	6480	3520
648	6488	3508
649	6516	3508
650	6528	3499
651	6541	3491
652	6566	3489
653	6592	3488
654	6614	3484
655	6631	3477
656	6641	3467
657	6651	3457
658	6661	3447
659	6669	3435
660	6679	3425
661	6688	3414
662	6702	3407
663	6723	3402
664	6732	3391
665	6741	3380
666	6749	3369
667	6759	3359
668	6772	3351
669	6781	3340
670	6791	3329
671	6800	3319
672	6809	3308
673	6819	3298
674	6829	3288
675	6840	3278
676	6849	3268
677	6858	3257
678	6868	3247
679	6878	3236
680	6888	3226
681	6897	3216
682	6908	3206
683	6918	3196
684	6927	3185
685	6936	3174
686	6944	3163
687	6953	3153
688	6962	3142
689	6970	3131
690	6978	3120
691	6986	3109
692	6995	3099
693	7004	3088
694	7012	3077
695	7022	3067
696	7031	3056
697	7041	3046
698	7051	3036
699	7060	3025
700	7070	3015
701	7079	3005
702	7088	2994
703	7097	2984
704	7104	2972
705	7111	2961
706	7119	2950
707	7127	2939
708	7134	2928
709	7142	2917
710	7149	2906
711	7157	2895
712	7165	2884
713	7173	2873
714	7197	2868
715	7211	2860
716	7221	2850
717	7229	2839
718	7238	2828
719	7246	2818
720	7256	2807
721	7264	2797
722	7275	2787
723	7288	2778
724	7297	2768
725	7309	2758
726	7319	2748
727	7334	2740
728	7348	2731
729	7362	2723
730	7371	2712
731	7382	2702
732	7392	2692
733	7401	2682
734	7410	2671
735	7419	2661
736	7429	2651
737	7438	2640
738	7445	2629
739	7451	2618
740	7459	2607
741	7465	2595
742	7474	2585
743	7480	2573
744	7490	2563
745	7498	2553
746	7506	2542
747	7513	2531
748	7520	2520
749	7527	2509
750	7533	2497
751	7539	2486
752	7553	2477
753	7562	2467
754	7570	2456
755	7578	2445
756	7586	2435
757	7595	2424
758	7616	2418
759	7627	2408
760	7636	2398
761	7646	2388
762	7654	2377
763	7664	2367
764	7675	2357
765	7684	2347
766	7696	2338
767	7709	2328
768	7721	2319
769	7732	2309
770	7740	2298
771	7747	2288
772	7754	2277
773	7761	2266
774	7768	2255
775	7775	2244
776	7783	2233
777	7789	2222
778	7796	2211
779	7804	2201
780	7812	2190
781	7819	2179
782	7862	2179
783	7873	2169
784	7883	2159
785	7894	2149
786	7906	2139
787	7924	2131
788	7934	2121
789	7943	2111
790	7951	2101
791	7960	2090
792	7969	2080
793	7977	2069
794	7987	2059
795	7996	2049
796	8004	2038
797	8013	2028
798	8021	2017
799	8030	2007
800	8039	1997
801	8048	1987
802	8059	1977
803	8068	1966
804	8078	1956
805	8088	1946
806	8098	1936
807	8107	1926
808	8115	1916
809	8123	1905
810	8147	1898
811	8161	1889
812	8192	1884
813	8204	1874
814	8216	1865
815	8225	1854
816	8244	1846
817	8252	1836
818	8261	1825
819	8269	1815
820	8277	1804
821	8285	1794
822	8294	1783
823	8317	1776
824	8325	1765
825	8349	1758
826	8360	1748
827	8372	1739
828	8382	1728
829	8392	1718
830	8399	1708
831	8413	1698
832	8426	1689
833	8442	1680
834	8452	1670
835	8462	1660
836	8472	1649
837	8480	1639
838	8490	1629
839	8499	1618
840	8507	1608
841	8516	1598
842	8525	1587
843	8535	1577
844	8544	1567
845	8552	1556
846	8626	1558
847	8661	1552
848	8697	1546
849	8718	1538
850	8729	1528
851	8738	1517
852	8746	1507
853	8754	1496
854	8760	1485
855	8767	1474
856	8803	1469
857	8818	1459
858	8837	1450
859	8853	1441
860	8862	1430
861	8883	1422
862	8893	1411
863	8904	1401
864	8912	1390
865	8921	1380
866	8931	1370
867	8941	1359
868	8949	1349
869	8958	1338
870	8968	1328
871	8977	1317
872	8987	1307
873	8996	1296
874	9005	1286
875	9014	1276
876	9024	1265
877	9034	1255
878	9044	1244
879	9054	1234
880	9077	1226
881	9084	1215
882	9091	1204
883	9098	1193
884	9107	1183
885	9115	1172
886	9122	1162
887	9129	1151
888	9137	1140
889	9139	1129
890	9146	1118
891	9154	1108
892	9162	1097
893	9169	1087
894	9175	1076
895	9181	1065
896	9188	1055
897	9195	1044
898	9202	1033
899	9215	1023
900	9222	1013
901	9231	1002
902	9238	992
903	9245	981
904	9253	971
905	9259	960
906	9266	950
907	9272	939
908	9278	928
909	9285	918
910	9312	909
911	9321	899
912	9330	889
913	9340	878
914	9351	868
915	9365	858
916	9375	848
917	9385	838
918	9395	828
919	9403	817
920	9412	807
921	9420	796
922	9429	786
923	9437	776
924	9455	766
925	9466	756
926	9476	746
927	9485	735
928	9495	725
929	9503	715
930	9511	704
931	9518	694
932	9526	684
933	9533	673
934	9540	663
935	9546	652
936	9552	642
937	9558	631
938	9565	621
939	9572	610
940	9578	600
941	9584	590
942	9590	579
943	9597	569
944	9604	559
945	9611	548
946	9619	538
947	9628	528
948	9636	517
949	9643	507
950	9651	497
951	9658	486
952	9666	476
953	9674	466
954	9682	456
955	9691	446
956	9699	435
957	9709	425
958	9720	415
959	9730	405
960	9742	395
961	9757	385
962	9766	375
963	9775	365
964	9783	354
965	9791	344
966	9799	334
967	9808	324
968	9817	314
969	9825	303
970	9833	293
971	9840	283
972	9847	273
973	9853	263
974	9859	252
975	9866	242
976	9873	232
977	9880	222
978	9886	212
979	9893	201
980	9900	191
981	9906	181
982	9913	171
983	9920	161
984	9926	151
985	9932	141
986	9938	130
987	9945	120
988	9951	110
989	9957	100
990	9963	90
991	9970	80
992	9976	70
993	9982	60
994	9989	50
995	9995	40
996	10020	30
997	10032	20
998	10045	10
999	10055	0
